"x","y","z"
-0.022737380117177963,-0.0023258381988853216,1.0116585493087769
-0.022764082998037338,-0.002313002711161971,1.0116288661956787
-0.022781342267990112,-0.0022712184581905603,1.0116022825241089
-0.022737327963113785,-0.0022174378391355276,1.0115838050842285
-0.02275371551513672,-0.002196447690948844,1.0115950107574463
-0.022653598338365555,-0.0020416900515556335,1.0116044282913208
-0.022495221346616745,-0.0017894231714308262,1.0116431713104248
-0.022373434156179428,-0.0014828972052782774,1.0117080211639404
-0.022309046238660812,-0.0014137979596853256,1.0117353200912476
-0.02232212759554386,-0.00144467584323138,1.0117608308792114
-0.022355277091264725,-0.0016426697839051485,1.0117045640945435
-0.022737637162208557,-0.0019248744938522577,1.011745572090149
-0.023655401542782784,-0.0024211734998971224,1.011846899986267
-0.023848308250308037,-0.002978457370772958,1.0117255449295044
-0.02513968013226986,-0.00418951315805316,1.0117589235305786
-0.02662723883986473,-0.0058248285204172134,1.0116239786148071
-0.028882022947072983,-0.007827500812709332,1.011647343635559
-0.030119676142930984,-0.009087123908102512,1.0116910934448242
-0.03301910310983658,-0.012021206319332123,1.0116138458251953
-0.03675303980708122,-0.015605996362864971,1.0115801095962524
-0.04094886779785156,-0.019722988829016685,1.0115995407104492
-0.043401654809713364,-0.021931873634457588,1.0116583108901978
-0.048679132014513016,-0.0271788127720356,1.0117489099502563
-0.05457359179854393,-0.032959695905447006,1.0118417739868164
-0.06133855879306793,-0.0395110622048378,1.0120798349380493
-0.06878618150949478,-0.04657820239663124,1.0123398303985596
-0.07278940826654434,-0.05032587796449661,1.0124820470809937
-0.08149699866771698,-0.058399226516485214,1.0128368139266968
-0.09065578132867813,-0.06723089516162872,1.013043761253357
-0.10058996826410294,-0.07641950994729996,1.0134023427963257
-0.10595636814832687,-0.0813598781824112,1.0135531425476074
-0.11678167432546616,-0.09150485694408417,1.0137654542922974
-0.12834380567073822,-0.10225693881511688,1.0139793157577515
-0.14053495228290558,-0.11341672390699387,1.0141128301620483
-0.15347407758235931,-0.1250332146883011,1.0142724514007568
-0.16012060642242432,-0.1308717280626297,1.014313817024231
-0.17353175580501556,-0.14301960170269012,1.0143574476242065
-0.1874454915523529,-0.15539228916168213,1.014338493347168
-0.20199596881866455,-0.1676977425813675,1.0145018100738525
-0.20923753082752228,-0.1741424947977066,1.0143992900848389
-0.22404026985168457,-0.1871175915002823,1.0143367052078247
-0.23916149139404297,-0.1998361051082611,1.014257788658142
-0.2545620799064636,-0.21263976395130157,1.0142560005187988
-0.2701056897640228,-0.2255599945783615,1.014175534248352
-0.27789106965065,-0.23185619711875916,1.0141140222549438
-0.2937246561050415,-0.24453404545783997,1.0140621662139893
-0.30941712856292725,-0.25712305307388306,1.0139696598052979
-0.3253529667854309,-0.269319087266922,1.0139752626419067
-0.3333055377006531,-0.2753258943557739,1.0139837265014648
-0.3491533100605011,-0.287346214056015,1.013903021812439
-0.3651583790779114,-0.2988555133342743,1.0139528512954712
-0.38100987672805786,-0.3100487291812897,1.014034390449524
-0.3967290222644806,-0.32091355323791504,1.0140266418457031
-0.4046028256416321,-0.3261118233203888,1.0140440464019775
-0.4201722741127014,-0.33632418513298035,1.014106273651123
-0.43562033772468567,-0.34612762928009033,1.0141401290893555
-0.4509105980396271,-0.35537993907928467,1.0142254829406738
-0.45854687690734863,-0.3598228394985199,1.0142043828964233
-0.47366341948509216,-0.3683576285839081,1.0142667293548584
-0.4886237680912018,-0.3763471841812134,1.0142583847045898
-0.5034156441688538,-0.3838278651237488,1.0140823125839233
-0.5181232690811157,-0.39063650369644165,1.0140446424484253
-0.5253910422325134,-0.3938669264316559,1.0139796733856201
-0.5399154424667358,-0.4000103771686554,1.0138885974884033
-0.5541146993637085,-0.4056258797645569,1.0137317180633545
-0.5682231187820435,-0.41047900915145874,1.0135307312011719
-0.575139582157135,-0.4128561019897461,1.0133708715438843
-0.5889852643013,-0.41702455282211304,1.013137936592102
-0.602746844291687,-0.4207899570465088,1.0128711462020874
-0.6162487268447876,-0.4235434830188751,1.012653112411499
-0.6296751499176025,-0.4263177216053009,1.012361764907837
-0.6362901926040649,-0.42732009291648865,1.012251377105713
-0.6494565606117249,-0.42892026901245117,1.0119858980178833
-0.6625154614448547,-0.4301273822784424,1.0118229389190674
-0.6753395795822144,-0.43069958686828613,1.0116386413574219
-0.6817196011543274,-0.4308117628097534,1.0115618705749512
-0.6944319605827332,-0.4306113123893738,1.0114327669143677
-0.7068169713020325,-0.42974746227264404,1.0112501382827759
-0.7192783951759338,-0.428483247756958,1.0112274885177612
-0.7316064834594727,-0.42656445503234863,1.0112457275390625
-0.737577497959137,-0.4255724847316742,1.0111756324768066
-0.7496740221977234,-0.4227936267852783,1.0112806558609009
-0.761634111404419,-0.4196773171424866,1.0113966464996338
-0.773212194442749,-0.415872186422348,1.011480689048767
-0.7789297699928284,-0.41383132338523865,1.0115193128585815
-0.790486752986908,-0.40941333770751953,1.0117026567459106
-0.8017945289611816,-0.40437838435173035,1.0119563341140747
-0.8127518892288208,-0.39866042137145996,1.0120714902877808
-0.8182867765426636,-0.3957209289073944,1.0122075080871582
-0.8289374709129333,-0.3893831670284271,1.0123077630996704
-0.8396243453025818,-0.38239485025405884,1.012603998184204
-0.8498687148094177,-0.3750631809234619,1.0126426219940186
-0.8601405024528503,-0.36716195940971375,1.0129311084747314
-0.865156352519989,-0.36288052797317505,1.013017177581787
-0.8749553561210632,-0.3542252480983734,1.0131779909133911
-0.8844152688980103,-0.34509095549583435,1.0132112503051758
-0.8937947154045105,-0.3355141580104828,1.0133638381958008
-0.898421585559845,-0.3304699659347534,1.0133638381958008
-0.9070028066635132,-0.3202367424964905,1.0133451223373413
-0.9154903888702393,-0.3096521198749542,1.0132571458816528
-0.9237315058708191,-0.29844731092453003,1.0132633447647095
-0.9315013885498047,-0.2868651747703552,1.0130572319030762
-0.9354431629180908,-0.28101348876953125,1.0130494832992554
-0.9430277347564697,-0.2687252461910248,1.0130443572998047
-0.9501591324806213,-0.25626516342163086,1.0129960775375366
-0.9568382501602173,-0.24354325234889984,1.0128308534622192
-0.9600824117660522,-0.2370060235261917,1.0128271579742432
-0.9663323760032654,-0.22362223267555237,1.0127956867218018
-0.9722155928611755,-0.21007587015628815,1.0127426385879517
-0.9778324365615845,-0.1959727257490158,1.012779712677002
-0.9804261326789856,-0.18895044922828674,1.0127944946289062
-0.9853943586349487,-0.17443299293518066,1.0128902196884155
-0.990099310874939,-0.159488707780838,1.0130739212036133
-0.9944897294044495,-0.14439933001995087,1.0132715702056885
-0.9982044696807861,-0.1293824017047882,1.0132701396942139
-1.0001909732818604,-0.12161789834499359,1.0135074853897095
-1.0033559799194336,-0.10637438297271729,1.01350998878479
-1.006445050239563,-0.0905180424451828,1.0137752294540405
-1.0089879035949707,-0.074953593313694,1.0138601064682007
-1.0111076831817627,-0.059047020971775055,1.0139533281326294
-1.0120840072631836,-0.05095357820391655,1.013985514640808
-1.0139656066894531,-0.03478452190756798,1.0141575336456299
-1.015194058418274,-0.018641425296664238,1.0141264200210571
-1.0160759687423706,-0.0025768475607037544,1.0140371322631836
-1.0163663625717163,0.005480408668518066,1.014034390449524
-1.0167003870010376,0.02176862582564354,1.0139342546463013
-1.01680326461792,0.03791945427656174,1.0139137506484985
-1.0164504051208496,0.05409900099039078,1.0138217210769653
-1.016129732131958,0.062187377363443375,1.0137660503387451
-1.0152956247329712,0.07816072553396225,1.0136882066726685
-1.0138657093048096,0.0939669981598854,1.0134685039520264
-1.0121471881866455,0.109865203499794,1.0132627487182617
-1.0101641416549683,0.1255548894405365,1.013161063194275
-1.0090703964233398,0.13332386314868927,1.0131291151046753
-1.006325125694275,0.14863625168800354,1.0128276348114014
-1.0033800601959229,0.16383416950702667,1.0128165483474731
-1.0000553131103516,0.17881827056407928,1.0127440690994263
-0.998304009437561,0.1860700100660324,1.0127404928207397
-0.9944363236427307,0.20082034170627594,1.0127356052398682
-0.9902812838554382,0.21502652764320374,1.0127688646316528
-0.9857385754585266,0.22895631194114685,1.012782096862793
-0.9806023836135864,0.24255318939685822,1.012712836265564
-0.978036642074585,0.24923814833164215,1.012789249420166
-0.9726132154464722,0.2625211775302887,1.012998342514038
-0.9665164947509766,0.27491986751556396,1.012885332107544
-0.9604466557502747,0.2872629165649414,1.0131410360336304
-0.9570950865745544,0.29317575693130493,1.013161063194275
-0.9503468871116638,0.3047243654727936,1.0132604837417603
-0.9431887269020081,0.31598401069641113,1.0134234428405762
-0.9355483651161194,0.326486736536026,1.0134429931640625
-0.9276005625724792,0.33663856983184814,1.0136005878448486
-0.9234480261802673,0.3413897752761841,1.0135730504989624
-0.9149215221405029,0.3505450487136841,1.0136337280273438
-0.906095564365387,0.35960009694099426,1.0138283967971802
-0.8967745900154114,0.36764469742774963,1.0137104988098145
-0.8919580578804016,0.3714931011199951,1.0137687921524048
-0.8822720646858215,0.3789486885070801,1.01386296749115
-0.872001051902771,0.3855263888835907,1.0137319564819336
-0.8614615201950073,0.3916231095790863,1.0137474536895752
-0.8507459163665771,0.397366464138031,1.0138907432556152
-0.8451077938079834,0.3997865915298462,1.0137583017349243
-0.8337318301200867,0.40438106656074524,1.0138583183288574
-0.8220658898353577,0.40832045674324036,1.013890027999878
-0.8100156784057617,0.4114448130130768,1.0139323472976685
-0.803788959980011,0.4128919243812561,1.0139199495315552
-0.7911189198493958,0.41512903571128845,1.0139799118041992
-0.7781134843826294,0.4168330132961273,1.0141184329986572
-0.7648879885673523,0.4178208112716675,1.0143909454345703
-0.7514147758483887,0.4181162416934967,1.0145848989486694
-0.744342029094696,0.4179798364639282,1.0145783424377441
-0.7304291725158691,0.4175538122653961,1.015000343322754
-0.7160792946815491,0.41628000140190125,1.0152570009231567
-0.7014156579971313,0.4144268035888672,1.0155240297317505
-0.6940115690231323,0.4132528305053711,1.0157073736190796
