"x","y","z"
-0.019697915762662888,-0.00045037412201054394,1.0101734399795532
-0.019553855061531067,-0.00044199242256581783,1.0101511478424072
-0.019462361931800842,-0.00042955836397595704,1.0101112127304077
-0.019358031451702118,-0.00042613595724105835,1.0100728273391724
-0.019282497465610504,-0.0004004478105343878,1.010071873664856
-0.019085094332695007,-0.0002439307572785765,1.0100278854370117
-0.018923629075288773,-2.212602885265369e-05,1.0100257396697998
-0.018759027123451233,0.0002683765487745404,1.0100560188293457
-0.018589962273836136,0.0004476310277823359,1.010091781616211
-0.018628068268299103,0.00047117489157244563,1.0101327896118164
-0.018723558634519577,0.000477296591270715,1.0102035999298096
-0.018898766487836838,-8.709170288057067e-06,1.010070562362671
-0.019464265555143356,-0.0005191591917537153,1.0101522207260132
-0.02001350186765194,-0.0009236565674655139,1.0102304220199585
-0.021096128970384598,-0.0021227295510470867,1.0102113485336304
-0.022608011960983276,-0.003572284709662199,1.0102620124816895
-0.02478071302175522,-0.005524139851331711,1.0102819204330444
-0.02593619003891945,-0.0068545108661055565,1.010274887084961
-0.0288960263133049,-0.00965969543904066,1.010273814201355
-0.032537274062633514,-0.013065261766314507,1.0103068351745605
-0.03670135885477066,-0.017250286415219307,1.0103168487548828
-0.04163920506834984,-0.021932702511548996,1.010428786277771
-0.0441681370139122,-0.02463848888874054,1.0103769302368164
-0.05012987554073334,-0.03049052692949772,1.0104315280914307
-0.05680590867996216,-0.0368194617331028,1.0105886459350586
-0.06432114541530609,-0.04416550323367119,1.0106767416000366
-0.07251424342393875,-0.051690034568309784,1.0109559297561646
-0.07671981304883957,-0.056257590651512146,1.0109636783599854
-0.08583209663629532,-0.06508069485425949,1.0111535787582397
-0.09571541845798492,-0.07458239793777466,1.0114325284957886
-0.10622034966945648,-0.08477151393890381,1.0116914510726929
-0.11184921860694885,-0.08989830315113068,1.0119141340255737
-0.12338054925203323,-0.10091465711593628,1.0122110843658447
-0.1355038583278656,-0.11248735338449478,1.0124382972717285
-0.14799796044826508,-0.12467882037162781,1.0126181840896606
-0.16114141047000885,-0.13683980703353882,1.0129531621932983
-0.16780444979667664,-0.14313851296901703,1.013073444366455
-0.1816999465227127,-0.15609507262706757,1.0133144855499268
-0.19592803716659546,-0.16937611997127533,1.0135020017623901
-0.21037466824054718,-0.18268628418445587,1.0137602090835571
-0.22532464563846588,-0.19599291682243347,1.0140703916549683
-0.232700914144516,-0.20296508073806763,1.0140814781188965
-0.2478807121515274,-0.21643152832984924,1.0143731832504272
-0.2633418142795563,-0.22998058795928955,1.014689326286316
-0.2789672017097473,-0.24345768988132477,1.0149283409118652
-0.2868070602416992,-0.25013935565948486,1.015137791633606
-0.3026359975337982,-0.2633705139160156,1.0153557062149048
