"P_xy","P_z","I_xy","I_z","cost","norm_cost"
0.4,1.25,0.05,0.05,-171.66321922990846,-0.9803921568627451
0.4,1.25,0.05,0.05,-168.723141546941,-0.963600970527785
0.4,1.25,0.05,0.05,-168.6925026951439,-0.9634259878487236
0.4,1.25,0.05,0.05,-168.41366258742426,-0.9618334938022209
0.4,1.25,0.05,0.05,-168.66911931926552,-0.9632924421863797
0.4,1.25,0.05,0.05,-167.1168795419297,-0.954427388215603
0.4,1.25,0.05,0.05,-169.24057931078465,-0.966556128467923
0.4,1.25,0.05,0.05,-166.9121993838399,-0.9532584317987487
0.4,1.25,0.05,0.05,-167.46176966995606,-0.9563971029746137
0.4,1.25,0.05,0.05,-168.30328543451617,-0.9612031147641639
0.4,1.25,0.05,0.05,-166.0493829746669,-0.9483307691103731
0.4,1.25,0.05,0.05,-165.47845514390593,-0.945070122071807
0.4,1.25,0.05,0.05,-168.26974606497183,-0.9610115668309788
0.4,1.25,0.05,0.05,-168.47440469133906,-0.9621804002772164
0.4,1.25,0.05,0.05,-167.85534763351973,-0.9586448806309038
0.4,1.25,0.05,0.05,-167.2131229822848,-0.954977047685447
0.4,1.25,0.05,0.05,-166.43804912535666,-0.9505504947305942
0.4,1.25,0.05,0.05,-167.80823733721485,-0.9583758272762483
0.4,1.25,0.05,0.05,-170.44069185111206,-0.9734101355590624
0.4,1.25,0.05,0.05,-167.1378545263118,-0.9545471792242465
