"P_xy","P_z","I_xy","I_z","cost","norm_cost"
0.4,1.25,0.05,0.05,-169.35643557008672,-0.9803921568627451
0.40980657973829054,1.0730755296865333,0.052069466073275936,0.05403458919977077,-164.40830066718132,-0.9517477617821716
0.406866455078125,0.8012244645201392,0.051180171966552744,0.05000000000000001,-166.5852868913188,-0.9643501775838395
0.393133544921875,0.9725401515508403,0.048819828033447275,0.06556510925292969,-164.87631015039526,-0.9544570348318541
0.4156039253203063,1.3155845811310218,0.05427652636143401,0.06556510925292969,-161.04308742912983,-0.9322667857351113
0.3582092544342631,1.3117275999396905,0.048819828033447275,0.06556510925292969,-173.4253805547683,-1.0039469850938634
0.44095360564585373,0.9049329299577151,0.05713657355100156,0.07379685580443182,-156.52878726625374,-0.9061338285876024
0.4630349244237075,1.4376601532797515,0.0524414346422699,0.0587709206349207,-154.2578676968986,-0.8929876394441698
0.41574933496495575,1.551147561824198,0.04703648427520184,0.07335950893926332,-160.81185812053604,-0.930928215991251
0.5071568787582512,1.4202173777160811,0.052181036947626,0.051403045654296875,-149.66382647028172,-0.8663930670459136
0.5071568787582512,1.4202173777160811,0.052181036947626,0.051403045654296875,-160.54815439086173,-0.9294016541724581
0.5071568787582512,1.4202173777160811,0.052181036947626,0.051403045654296875,-172.0584569797062,-0.9960339633801588
0.5071568787582512,1.4202173777160811,0.052181036947626,0.051403045654296875,-180.82224810519347,-1.0467669163670876
0.5071568787582512,1.4202173777160811,0.052181036947626,0.051403045654296875,-183.76847722551014,-1.0638224236594795
0.5071568787582512,1.4202173777160811,0.052181036947626,0.051403045654296875,-188.06965221127493,-1.0887216145709044
0.5071568787582512,1.4202173777160811,0.052181036947626,0.051403045654296875,-188.1939819260612,-1.0894413502976936
0.5071568787582512,1.4202173777160811,0.052181036947626,0.051403045654296875,-183.57510669969218,-1.0627030156709836
0.5071568787582512,1.4202173777160811,0.052181036947626,0.051403045654296875,-187.47894539127893,-1.085302055512638
0.5071568787582512,1.4202173777160811,0.052181036947626,0.051403045654296875,-188.09302360045524,-1.0888569098525407
0.5071568787582512,1.4202173777160811,0.052181036947626,0.051403045654296875,-187.2702748421317,-1.0840940767956584
