"P_xy","P_z","I_xy","I_z","cost","norm_cost"
0.4,1.25,0.05,0.05,-174.20730800508034,-0.9803921568627452
0.4,1.25,0.05,0.05,-172.6708828850566,-0.9717455670352149
0.4,1.25,0.05,0.05,-172.94083665962293,-0.9732647947090194
0.4,1.25,0.05,0.05,-172.43816154332205,-0.9704358735396671
0.4,1.25,0.05,0.05,-172.44560346447935,-0.9704777546824168
0.4,1.25,0.05,0.05,-172.16516185557364,-0.9688995042807683
0.4,1.25,0.05,0.05,-171.3974541864992,-0.9645790507582214
0.4,1.25,0.05,0.05,-172.08687746646194,-0.9684589406673999
0.4,1.25,0.05,0.05,-170.51486114977521,-0.9596120531000024
0.4,1.25,0.05,0.05,-171.5345303933687,-0.9653504790045234
0.4,1.25,0.05,0.05,-168.33223769203323,-0.9473288317824875
0.4,1.25,0.05,0.05,-169.213020065453,-0.9522856395116932
0.4,1.25,0.05,0.05,-169.6841390037826,-0.9549369709476533
0.4,1.25,0.05,0.05,-167.17240998623254,-0.9408016315226342
0.4,1.25,0.05,0.05,-167.45083738661287,-0.9423685464971805
0.4,1.25,0.05,0.05,-167.66768961662027,-0.9435889328743768
0.4,1.25,0.05,0.05,-167.4308493148258,-0.9422560589727749
0.4,1.25,0.05,0.05,-169.52243631432964,-0.9540269514410165
0.4,1.25,0.05,0.05,-168.86313118094586,-0.9503165584089976
0.4,1.25,0.05,0.05,-166.86560240224935,-0.9390750004619306
