"P_xy","P_z","I_xy","I_z","cost","norm_cost"
0.4,1.25,0.05,0.05,-163.1190888781253,-0.9803921568627452
0.44133749747220496,1.2844377144311436,0.05155825123569517,0.052552048480774494,-153.18358112533568,-0.9206769270740248
0.44133749747220496,1.2844377144311436,0.05155825123569517,0.07140396141051605,-153.19228150253096,-0.9207292188175765
0.45414870294492327,1.092120590425467,0.05634186556765346,0.0580304825301763,-150.33335956558057,-0.9035462841693627
0.5192413563005599,1.358429699111301,0.05575177958437708,0.06556510925292969,-141.8790243054243,-0.8527333226848968
0.5194593774461943,1.323509032941597,0.04396219320132387,0.06556510925292969,-140.8907579861202,-0.8467935607906818
0.45414870294492327,0.8339061218167507,0.05575177958437708,0.043866957201786246,-150.51811316200093,-0.9046567058749305
0.577815925852977,1.241560007306973,0.05000000000000001,0.06556510925292969,-138.53557237625648,-0.8326382248594496
0.577815925852977,1.241560007306973,0.05000000000000001,0.06556510925292969,-153.82808389636722,-0.9245505721890226
0.577815925852977,1.241560007306973,0.05000000000000001,0.06556510925292969,-154.25569384326403,-0.9271206296912893
0.577815925852977,1.241560007306973,0.05000000000000001,0.06556510925292969,-154.91134096102746,-0.9310612555024425
0.577815925852977,1.241560007306973,0.05000000000000001,0.06556510925292969,-154.98046880178651,-0.9314767335030072
0.577815925852977,1.241560007306973,0.05000000000000001,0.06556510925292969,-155.11814129216236,-0.9323041843593634
0.577815925852977,1.241560007306973,0.05000000000000001,0.06556510925292969,-150.8077558939284,-0.9063975411421392
0.577815925852977,1.241560007306973,0.05000000000000001,0.06556510925292969,-151.5992637725661,-0.9111547287996258
0.577815925852977,1.241560007306973,0.05000000000000001,0.06556510925292969,-152.1732044065227,-0.9146042753849202
