"P_xy","P_z","I_xy","I_z","cost","norm_cost"
0.4,1.25,0.05,0.05,-169.2367169082132,-0.9803921568627451
0.4,1.25,0.05,0.05,-167.0103769812248,-0.9674949189417708
0.4,1.25,0.05,0.05,-165.58609458868023,-0.9592440185915487
0.4,1.25,0.05,0.05,-165.79687653303125,-0.9604650831975355
0.4,1.25,0.05,0.05,-167.11913733280616,-0.9681249701364287
0.4,1.25,0.05,0.05,-165.1204451775642,-0.9565465009438062
0.4,1.25,0.05,0.05,-167.0151144070008,-0.9675223629572265
0.4,1.25,0.05,0.05,-167.43900438402903,-0.9699779672518702
0.4,1.25,0.05,0.05,-166.53183675609802,-0.9647227245147655
0.4,1.25,0.05,0.05,-167.9640813684973,-0.9730197501860134
0.4,1.25,0.05,0.05,-162.61156743909396,-0.9420125150437029
0.4,1.25,0.05,0.05,-157.94995787704707,-0.9150077046427434
0.4,1.25,0.05,0.05,-158.81352531103175,-0.9200103704629498
0.4,1.25,0.05,0.05,-159.06375419080655,-0.9214599520645878
0.4,1.25,0.05,0.05,-158.72433359280365,-0.9194936808071502
0.4,1.25,0.05,0.05,-157.7546781897595,-0.9138764449651215
0.4,1.25,0.05,0.05,-161.10015659394196,-0.9332568775824304
0.4,1.25,0.05,0.05,-158.52026083783636,-0.9183114826881227
0.4,1.25,0.05,0.05,-158.32276610526907,-0.9171673912027288
0.4,1.25,0.05,0.05,-159.03757086018314,-0.9213082714337371
