"P_xy","P_z","I_xy","I_z","cost","norm_cost"
0.4,1.25,0.05,0.05,-170.58025956572274,-0.9803921568627451
0.3602221791679843,1.2538298910624555,0.05140825449771919,0.053172799793221884,-176.0620770795574,-1.011898328266158
0.4,1.25,0.05000000000000001,0.03599037796630688,-169.11376691511902,-0.9719636441121544
0.4,1.4514093089259161,0.05000000000000001,0.03599037796630688,-167.9809061429403,-0.9654526456021917
0.4,1.5129777364538353,0.05708750755116768,0.03599037796630688,-166.22040975589272,-0.9553343772020803
0.4107223262135715,1.75891938410645,0.0536753738753038,0.03695998153168425,-164.8562099222123,-0.9474937816915637
0.45638112036042466,1.6941989733483354,0.051319531047672104,0.03926815228013837,-155.85256499108766,-0.8957462764636765
0.41466949209493364,2.041076129948922,0.054082998858584815,0.04297337124696926,-164.58458032471526,-0.9459326190597571
0.43021775536436646,1.3618676420920832,0.05174651624984393,0.06556510925292969,-159.93127501430072,-0.9191882346776917
0.4929140495125118,1.5264437227633247,0.054268214891890175,0.06556510925292969,-149.01090858669284,-0.8564245736130948
0.5231911380133901,1.330520482903119,0.05174651624984393,0.06556510925292969,-147.12189352104457,-0.8455676575826465
0.5128397718516919,1.8978515751781826,0.05059008598327638,0.06146772029303773,-149.16986027864488,-0.8573381317968294
0.5949760414470333,1.3975774067939328,0.054635832054476904,0.06670777756766115,-142.45265574065797,-0.8187317029999036
0.5523567200358876,2.199624829757467,0.05000000000000001,0.0610769729827465,-146.96044481343893,-0.8446397480632497
0.5681100057867248,1.4834307133711992,0.0631489241525552,0.046402935328816654,-152.96566519200772,-0.8791541225540025
0.6330088506795756,1.6895315662333499,0.05785647396912654,0.07154601156137047,-138.1792981479542,-0.7941710282886398
0.5828711168309866,2.331709421795697,0.054268214891890175,0.0820707286998294,-144.72851474645768,-0.8318119640165765
0.4929140495125117,1.1143807475433853,0.054268214891890175,0.0396013259887695,-159.93978532169723,-0.9192371467771648
0.4633788130811214,2.205478085456798,0.05505139821651103,0.07210897922791663,-159.85941940476795,-0.9187752520958158
0.6903704892610925,1.9988118614897843,0.05241487167194607,0.06556510925292969,-135.64699136549112,-0.7796168605636189
