"P_xy","P_z","I_xy","I_z","cost","norm_cost"
0.4,1.25,0.05,0.05,-167.37278830775426,-0.9803921568627451
0.4089724030432235,1.2961701060646593,0.05550813610549977,0.05385330461069305,-161.06007469473826,-0.9434152087142698
0.40674572091257777,1.3483137292388196,0.04641028065823219,0.05860075682647486,-162.15713035356657,-0.949841251886709
0.40698700598370047,1.1809555390050566,0.05509958452649648,0.07025096304451732,-160.52110920250823,-0.9402581988637173
0.40679222442378654,1.5756017396424822,0.052909366133829364,0.06556510925292969,-160.4454638000983,-0.9398151031850516
0.38635412676567393,1.5794235829392549,0.044288921841201506,0.05546551763847703,-163.53035735601003,-0.9578849786860272
0.45392998216474606,1.617828945928255,0.052909366133829364,0.05494356155395508,-154.1897216651725,-0.9031718675286081
0.43942005276852447,1.101754174253819,0.044288921841201506,0.06556510925292969,-154.30502322553744,-0.9038472505857869
0.5207081046846412,1.6914374778260717,0.05000000000000001,0.05000000000000001,-144.84659802613317,-0.8484441831246751
0.5207081046846412,1.6914374778260717,0.05000000000000001,0.05000000000000001,-144.48268505203293,-0.8463125497259864
0.5207081046846412,1.6914374778260717,0.05000000000000001,0.05000000000000001,-163.68096602327176,-0.9587671743979578
0.4,1.25,0.05,0.05,-158.02453161064926,-0.9256344053856683
0.40342068112746643,1.0950605315815447,0.051820499014721064,0.05168837513525357,-156.6207830201608,-0.9174118972812355
0.41070658010915984,1.4930672656113289,0.05054439724941739,0.055826243509102744,-148.9280648894144,-0.8723515227926892
0.40413193091003075,1.34364656132617,0.046120489416747075,0.06438493728637695,-152.5613643294601,-0.8936337055809984
0.40636353710281353,1.5361122702546628,0.06117361921781744,0.055795804305613685,-161.60695059210235,-0.9466185540488004
0.45423637294638547,1.7813433360937283,0.052523499863284,0.06745525322882999,-151.9113270223122,-0.8898260885600991
0.41099838598815575,1.0002820370679188,0.05770374049131756,0.06556510925292969,-150.5036344939411,-0.8815804786969731
0.45539336638408,1.056932306939124,0.049952405064775524,0.06320476531982422,-157.61450365205008,-0.9232326517985444
0.40413193091003075,1.4638095251933578,0.050251091299681645,0.06556510925292969,-154.61527994103528,-0.9056645905104154
