"P_xy","P_z","I_xy","I_z","cost","norm_cost"
0.4,1.25,0.05,0.05,-163.59579450823287,-0.9803921568627452
0.4,1.25,0.05,0.05,-159.24883467102995,-0.954341821379478
0.4,1.25,0.05,0.05,-158.33755514664338,-0.9488807317402009
0.4,1.25,0.05,0.05,-159.61180210031728,-0.9565170021164866
0.4,1.25,0.05,0.05,-159.8692105708381,-0.9580595921712448
0.4,1.25,0.05,0.05,-158.95115365977617,-0.9525578872046573
0.4,1.25,0.05,0.05,-162.35599614734605,-0.9729623290193188
0.4,1.25,0.05,0.05,-160.3865930916843,-0.9611601472133852
0.4,1.25,0.05,0.05,-189.814600472568,-1.137515460716664
0.4,1.25,0.05,0.05,-190.19483055327782,-1.139794092573013
0.4,1.25,0.05,0.05,-188.70371121255806,-1.1308581556133717
0.4,1.25,0.05,0.05,-189.47927069240995,-1.135505906085888
0.4,1.25,0.05,0.05,-188.41046446790227,-1.129100794983471
0.4,1.25,0.05,0.05,-188.54205517824653,-1.129889387995445
0.4,1.25,0.05,0.05,-189.07309411672307,-1.1330717828231123
0.4,1.25,0.05,0.05,-188.78396039625883,-1.1313390706059079
