"P_xy","P_z","I_xy","I_z","cost","norm_cost"
0.4,1.25,0.05,0.05,-167.0357416452398,-0.9803921568627451
0.40711043749049375,1.343171305339591,0.05274996776043614,0.055625728621735426,-166.01273397371313,-0.9743877611106952
0.3597374011876644,1.3068490290800092,0.05179851827881109,0.05235934035943592,-175.15838064948304,-1.0280668131629551
0.4070988704041845,1.551711869006901,0.05073069752682225,0.05262820441660273,-164.40740183461867,-0.9649654960144588
0.46655839467549265,1.1932495545788275,0.05000000000000001,0.05000000000000001,-155.09778170652203,-0.910324025470136
0.43766606844556377,1.4368363160093445,0.055695659046803535,0.0710925371779738,-157.57681550531828,-0.924874356249637
0.5139967372956314,1.032881213187343,0.05054515823907868,0.06556510925292969,-143.95041940909283,-0.8448961927292952
0.5207615707815132,0.6951719008121802,0.05000000000000001,0.06556510925292969,-143.73783050381496,-0.8436484328587573
0.5074002250149439,1.459626059996656,0.05590085983276368,0.053763389587402344,-147.89658004516076,-0.8680576125500796
0.56120939886238,0.95367431640625,0.052553777765849546,0.059664249420166016,-138.97195942968312,-0.8156758410309469
0.56120939886238,0.95367431640625,0.052553777765849546,0.059664249420166016,-144.7634576722622,-0.8496682033695896
0.56120939886238,0.95367431640625,0.052553777765849546,0.059664249420166016,-145.32617056410257,-0.8529709654029844
0.56120939886238,0.95367431640625,0.052553777765849546,0.059664249420166016,-146.9714772091734,-0.8626278550876334
0.56120939886238,0.95367431640625,0.052553777765849546,0.059664249420166016,-145.30030183302193,-0.8528191326227086
0.56120939886238,0.95367431640625,0.052553777765849546,0.059664249420166016,-143.75945005217378,-0.8437753256748524
0.56120939886238,0.95367431640625,0.052553777765849546,0.059664249420166016,-145.7002174676278,-0.85516637967123
0.56120939886238,0.95367431640625,0.052553777765849546,0.059664249420166016,-146.43681010413098,-0.8594897037485661
0.56120939886238,0.95367431640625,0.052553777765849546,0.059664249420166016,-146.4495195819495,-0.8595643001927066
0.56120939886238,0.95367431640625,0.052553777765849546,0.059664249420166016,-149.21452249920435,-0.8757930854040573
0.56120939886238,0.95367431640625,0.052553777765849546,0.059664249420166016,-146.10138515181768,-0.8575209754439231
