"x","y","z"
-0.026837702840566635,-0.00525754876434803,1.011199712753296
-0.026798510923981667,-0.005242052022367716,1.0112477540969849
-0.02669570781290531,-0.0052161747589707375,1.0113261938095093
-0.026603445410728455,-0.005205872934311628,1.011413812637329
-0.02643926814198494,-0.00511906435713172,1.0115249156951904
-0.026353424414992332,-0.005125964526087046,1.0115509033203125
-0.02605406381189823,-0.004927244037389755,1.011603593826294
-0.025748269632458687,-0.004657612182199955,1.0116801261901855
-0.025461332872509956,-0.004455650690943003,1.0117615461349487
-0.025285394862294197,-0.004330071154981852,1.0118197202682495
-0.025282971560955048,-0.004490988329052925,1.0117995738983154
-0.025273337960243225,-0.004922041203826666,1.011735200881958
-0.02569807693362236,-0.005306706763803959,1.0118223428726196
-0.026546988636255264,-0.006314758211374283,1.0118248462677002
-0.02700246497988701,-0.007121462840586901,1.0117610692977905
-0.028285067528486252,-0.008390922099351883,1.011872410774231
-0.030072515830397606,-0.010516987182199955,1.0119065046310425
-0.03245904669165611,-0.013018585741519928,1.0119456052780151
-0.035303063690662384,-0.01612996682524681,1.0118985176086426
-0.03712860122323036,-0.01765485480427742,1.0119602680206299
-0.0408000648021698,-0.021920857951045036,1.0118224620819092
-0.04536118358373642,-0.026406779885292053,1.0119134187698364
-0.05064179748296738,-0.031834907829761505,1.011937141418457
-0.05647612735629082,-0.03770005330443382,1.0119452476501465
-0.05962389335036278,-0.04101058468222618,1.0119011402130127
-0.0666065663099289,-0.04819193854928017,1.0118861198425293
-0.07442792505025864,-0.05587298050522804,1.0118069648742676
-0.08304262906312943,-0.06427914649248123,1.0118600130081177
-0.08769886940717697,-0.06865500658750534,1.0118743181228638
-0.09712984412908554,-0.07801956683397293,1.0118231773376465
-0.10733481496572495,-0.08808886259794235,1.011813759803772
-0.11812775582075119,-0.09856484085321426,1.0118751525878906
-0.123860202729702,-0.10402584820985794,1.0118502378463745
-0.13566482067108154,-0.11540137976408005,1.0118945837020874
-0.14815914630889893,-0.12726959586143494,1.011935830116272
-0.1610046774148941,-0.1392945796251297,1.0120155811309814
-0.17438657581806183,-0.15178531408309937,1.0120255947113037
-0.18115420639514923,-0.1580880582332611,1.0120562314987183
-0.1954026073217392,-0.17080357670783997,1.0122685432434082
-0.20984849333763123,-0.18398186564445496,1.01236093044281
-0.22445473074913025,-0.19722294807434082,1.012378215789795
-0.2395528256893158,-0.21021480858325958,1.012640357017517
-0.2471988946199417,-0.2168622612953186,1.0127174854278564
-0.2626076936721802,-0.2300630658864975,1.0128353834152222
-0.2780090570449829,-0.2433462291955948,1.0129263401031494
-0.2939035892486572,-0.25620967149734497,1.0131546258926392
-0.301896333694458,-0.2626652419567108,1.0132288932800293
-0.3177469074726105,-0.27531498670578003,1.0134317874908447
-0.33369672298431396,-0.28783300518989563,1.0136213302612305
-0.3496890962123871,-0.29999834299087524,1.0137903690338135
-0.365568608045578,-0.31178295612335205,1.0140204429626465
-0.3735243082046509,-0.3176494538784027,1.0140724182128906
-0.3895249664783478,-0.3287443220615387,1.0143247842788696
-0.405410498380661,-0.33954355120658875,1.0145149230957031
-0.4213050305843353,-0.34989500045776367,1.0146723985671997
-0.4290805757045746,-0.3547361493110657,1.0147902965545654
-0.44459906220436096,-0.36448588967323303,1.0147631168365479
-0.46019867062568665,-0.3734029531478882,1.0148985385894775
-0.4756239354610443,-0.381702721118927,1.0149548053741455
-0.4910251200199127,-0.389696329832077,1.014966368675232
-0.4986230731010437,-0.39331239461898804,1.0149580240249634
-0.5138129591941833,-0.40018361806869507,1.0150226354599
-0.5287752747535706,-0.40688103437423706,1.0149084329605103
-0.5435938239097595,-0.4127216935157776,1.014843463897705
-0.5508120656013489,-0.4154323637485504,1.0147651433944702
-0.5653795599937439,-0.4203391969203949,1.0146167278289795
-0.5799237489700317,-0.42468222975730896,1.0145212411880493
-0.5942815542221069,-0.42845624685287476,1.0143413543701172
-0.601344645023346,-0.430169016122818,1.0142271518707275
-0.6155162453651428,-0.4327949285507202,1.0140818357467651
-0.6294026970863342,-0.43514516949653625,1.0139706134796143
-0.6430610418319702,-0.43703144788742065,1.0136836767196655
-0.6565657258033752,-0.4380890429019928,1.0133939981460571
-0.6632331609725952,-0.43857336044311523,1.013283610343933
-0.6767447590827942,-0.4384739398956299,1.0131580829620361
-0.6898643374443054,-0.43822571635246277,1.0129677057266235
-0.7029802799224854,-0.4374086558818817,1.012825608253479
-0.7094815969467163,-0.43680787086486816,1.0128356218338013
-0.7221015095710754,-0.4351845383644104,1.0126069784164429
-0.7346598505973816,-0.4328630566596985,1.012468695640564
-0.7469993829727173,-0.43018990755081177,1.0123448371887207
-0.7593599557876587,-0.4267803132534027,1.012418508529663
-0.7654033303260803,-0.42491692304611206,1.0123270750045776
-0.7773206233978271,-0.420940637588501,1.0123717784881592
-0.7892719507217407,-0.41635119915008545,1.0124622583389282
-0.8007385730743408,-0.41125965118408203,1.0124372243881226
-0.8064424395561218,-0.40864089131355286,1.0124447345733643
-0.8178488612174988,-0.40247392654418945,1.0125842094421387
-0.8287919163703918,-0.39649948477745056,1.012609839439392
-0.8397925496101379,-0.38948914408683777,1.0127779245376587
-0.8450533747673035,-0.38608214259147644,1.0128456354141235
-0.85518878698349,-0.37873375415802,1.0126862525939941
-0.8656624555587769,-0.3705970346927643,1.012948751449585
-0.8757252097129822,-0.36196333169937134,1.0131809711456299
-0.8854011297225952,-0.3530510663986206,1.0132696628570557
-0.8901317119598389,-0.3484482765197754,1.0133014917373657
-0.8995492458343506,-0.338926762342453,1.0134440660476685
-0.908690333366394,-0.3286859095096588,1.013576626777649
-0.9173170924186707,-0.3179832696914673,1.0136185884475708
-0.9256559610366821,-0.30699455738067627,1.0136587619781494
-0.9298440217971802,-0.3013248145580292,1.013741135597229
-0.9377558827400208,-0.2895856499671936,1.013772964477539
-0.9454153776168823,-0.2776651680469513,1.0139060020446777
-0.952686071395874,-0.26520127058029175,1.0139175653457642
-0.9596892595291138,-0.2521451711654663,1.014112949371338
-0.9629170894622803,-0.24573713541030884,1.0140142440795898
-0.9695315361022949,-0.23221997916698456,1.014201045036316
-0.975705087184906,-0.2184373438358307,1.0142854452133179
-0.9815074801445007,-0.20413073897361755,1.0144238471984863
-0.9841449856758118,-0.19737689197063446,1.0143705606460571
-0.9894163012504578,-0.18267276883125305,1.0144789218902588
-0.994311511516571,-0.16752742230892181,1.0146197080612183
-0.9986607432365417,-0.15264004468917847,1.0145204067230225
-1.0009362697601318,-0.1449567675590515,1.0146913528442383
-1.00457763671875,-0.1296018809080124,1.0144957304000854
-1.0083484649658203,-0.11395663768053055,1.0147101879119873
-1.0113190412521362,-0.09834115207195282,1.0145657062530518
-1.0141936540603638,-0.082073874771595,1.0147349834442139
-1.015262484550476,-0.07403737306594849,1.0146301984786987
-1.0173958539962769,-0.05812525004148483,1.0145341157913208
-1.0190976858139038,-0.04190513864159584,1.0145701169967651
-1.0205587148666382,-0.025517016649246216,1.014639139175415
-1.0212571620941162,-0.01720641925930977,1.0147546529769897
-1.022136926651001,-0.0008213750552386045,1.0148249864578247
-1.022336721420288,0.015417785383760929,1.0146431922912598
-1.0225170850753784,0.03192764148116112,1.014721393585205
-1.0220463275909424,0.04819520190358162,1.0146160125732422
-1.021599292755127,0.056355636566877365,1.014509677886963
-1.0208640098571777,0.072509765625,1.0145504474639893
-1.01953125,0.0887567400932312,1.0145775079727173
-1.0180034637451172,0.10490107536315918,1.0146793127059937
-1.0170626640319824,0.11295955628156662,1.0147653818130493
-1.014495611190796,0.12844549119472504,1.0144153833389282
-1.0119388103485107,0.14440810680389404,1.0145864486694336
-1.0089435577392578,0.15969602763652802,1.0145626068115234
-1.0071299076080322,0.16745416820049286,1.0145246982574463
-1.003645420074463,0.18265889585018158,1.0146539211273193
-0.9994577765464783,0.1974279284477234,1.0144857168197632
-0.9950762987136841,0.21194007992744446,1.0146182775497437
-0.9903486371040344,0.2263929694890976,1.0146104097366333
-0.9877442717552185,0.23347505927085876,1.014696478843689
-0.9824395775794983,0.24711790680885315,1.0147345066070557
-0.9765499830245972,0.2604741156101227,1.014620304107666
-0.9703509211540222,0.2735428512096405,1.0146470069885254
-0.9671725034713745,0.2799030542373657,1.0146796703338623
-0.9604916572570801,0.2921621799468994,1.0147472620010376
-0.9532321095466614,0.30403217673301697,1.0146162509918213
-0.9459186792373657,0.31583738327026367,1.0149627923965454
-0.9419391751289368,0.3213482201099396,1.0148191452026367
-0.93402498960495,0.3322417736053467,1.0151196718215942
-0.9251441955566406,0.34235134720802307,1.0149893760681152
-0.9164599776268005,0.3521205484867096,1.015185832977295
-0.9071154594421387,0.36098453402519226,1.015129804611206
-0.902534544467926,0.36523374915122986,1.0152616500854492
-0.8928208351135254,0.37346503138542175,1.0151740312576294
-0.8828465938568115,0.38132715225219727,1.0153088569641113
-0.8724719285964966,0.38829585909843445,1.0152345895767212
-0.8669963479042053,0.39145997166633606,1.0150805711746216
-0.8564184904098511,0.3979434669017792,1.0153306722640991
-0.845291018486023,0.40328192710876465,1.0152281522750854
-0.8335943222045898,0.4083007574081421,1.015183687210083
-0.8219678997993469,0.4125029146671295,1.0152276754379272
