"x","y","z"
-0.023305589333176613,-0.005419180262833834,1.011208176612854
-0.023281753063201904,-0.005356622394174337,1.011258840560913
-0.023296281695365906,-0.005158614367246628,1.011393427848816
-0.02309868112206459,-0.005022435914725065,1.0113933086395264
-0.02294551394879818,-0.004837094806134701,1.011379599571228
-0.022807369008660316,-0.004704962484538555,1.0113674402236938
-0.022449975833296776,-0.004433727823197842,1.0113111734390259
-0.02204846777021885,-0.0040473323315382,1.01125967502594
-0.021848183125257492,-0.003881970653310418,1.011221170425415
-0.021486226469278336,-0.0037398480344563723,1.0111026763916016
-0.02146926149725914,-0.003714832477271557,1.0110454559326172
-0.02164909988641739,-0.003858515527099371,1.0110478401184082
-0.022176053375005722,-0.004419613629579544,1.0109748840332031
-0.022983571514487267,-0.005363085772842169,1.010959506034851
-0.023640239611268044,-0.005797593854367733,1.011028528213501
-0.025063198059797287,-0.007459846790879965,1.010890007019043
-0.026944581419229507,-0.00945950299501419,1.0108472108840942
-0.028218399733304977,-0.010665242560207844,1.0108745098114014
-0.031110523268580437,-0.013292104937136173,1.0109976530075073
-0.03455909341573715,-0.016651853919029236,1.0110681056976318
-0.03657127916812897,-0.018567649647593498,1.0110578536987305
-0.04353717342019081,-0.02527598664164543,1.0111567974090576
-0.0490821972489357,-0.03064396232366562,1.0112141370773315
-0.052194103598594666,-0.033500805497169495,1.0112686157226562
-0.058854568749666214,-0.039770256727933884,1.0114272832870483
-0.06625377386808395,-0.04669201746582985,1.0115150213241577
-0.07025361061096191,-0.05040634050965309,1.0116244554519653
-0.07872419059276581,-0.058340564370155334,1.011664628982544
-0.08819130063056946,-0.06694407761096954,1.011778473854065
-0.09821173548698425,-0.07599528133869171,1.011858582496643
-0.10883680731058121,-0.08601868897676468,1.0118191242218018
-0.11442288011312485,-0.09109167754650116,1.0118238925933838
-0.12617944180965424,-0.10181105136871338,1.0118781328201294
-0.1385975033044815,-0.1126682311296463,1.0119290351867676
-0.14497433602809906,-0.1184673011302948,1.0118850469589233
-0.16511084139347076,-0.1361718773841858,1.012012243270874
-0.1719045639038086,-0.14240911602973938,1.0119028091430664
-0.18615439534187317,-0.15474890172481537,1.011975646018982
-0.20078331232070923,-0.16737248003482819,1.012062907218933
-0.2081776112318039,-0.17377525568008423,1.0120790004730225
-0.23125076293945312,-0.19308412075042725,1.012316346168518
-0.24667619168758392,-0.2063402682542801,1.0123766660690308
